6, 10, 13, 33, 40, 57, 59, 72, 106, 114, 118, 
127, 129, 131, 134, 135, 137, 139, 140, 143,
144, 145, 148, 149, 150, 151, 154, 157, 159, 
165, 166, 171, 172, 173, 177, 178, 183, 187,
192, 193, 195, 196, 197, 199, 200, 201, 202,
203, 205, 206, 207, 208, 209, 211, 213, 215,
217, 219, 221, 222, 226, 229, 230, 231, 235,
236, 237, 238, 239, 240, 241, 242, 243, 244,
245, 246, 247, 248, 249, 250, 251, 252, 253,
255, 256, 258, 259, 260, 261, 262, 266, 267,
268, 271, 272, 273, 274, 275, 276, 278, 279,
281, 285, 286, 287, 289, 291, 294, 297, 299,
300, 301, 302, 303, 305, 307, 309, 311, 312,
313, 314, 318, 322, 323, 324, 325, 327, 329,
330, 331, 332, 336, 339, 341, 342, 343, 347,
348, 350, 352, 355, 356, 358, 360, 361, 363,
370, 372, 373, 376, 379, 383, 388, 389, 390, 
393, 394, 395, 399, 401, 402, 403, 405, 409,
410, 413, 414, 415, 421, 423, 424, 425, 428, 
430, 437, 439, 440, 444, 445, 447, 448, 449,
451, 455, 458, 459, 460, 461, 462, 463, 464,
465, 471, 473, 474, 475, 477, 479, 483, 485, 
487, 488, 490, 491, 494, 495, 498, 499, 502, 
503, 504, 505, 506, 507, 508, 509, 512, 513,
514, 516, 518, 520, 521, 524, 528, 529, 530,
531, 532, 533, 534, 535, 536, 539, 541, 543, 
544, 551, 555, 556, 557, 559, 566, 567, 569,
573, 574, 575, 576, 578, 579, 580, 581, 585, 
587, 592, 595, 597, 599, 600, 604, 605, 607, 
608, 609, 610, 613, 614, 616, 617, 618, 619, 
622, 623, 624, 625, 626, 627, 628, 631, 632,
633, 636, 637, 638, 640, 641, 642, 646, 647,
648, 649, 650, 652, 653, 654, 657, 659, 661, 
663, 664, 665, 666, 671, 673, 674, 678, 679,
680, 681, 682, 684, 685, 688, 689, 690, 692,
693, 695, 697, 698, 699, 700, 701, 702, 703,
708, 710, 711, 713, 716, 719, 720, 721, 722,
724, 725, 726, 727, 729, 731, 734, 737, 738,
741, 743, 746, 747, 749, 751, 752, 753, 755,
757, 758, 759, 763, 764, 766, 767, 799, 807, 
809, 888, 907
